ticket_id,category,priority,status,department,assigned_agent,created_date,resolved_date,resolution_hours,sla_breached,is_weekend
TKT-00001,Printer,Low,Closed,Finance,Priya Singh,2024-09-18 04:28:13,2024-09-19 07:28:13,27.0,No,No
TKT-00002,Hardware,Medium,Resolved,HR,Priya Singh,2024-04-24 20:11:52,2024-04-26 09:11:52,37.0,No,No
TKT-00003,Email,Low,Closed,Operations,Neha Gupta,2024-11-04 16:51:50,2024-11-06 06:51:50,38.0,No,No
TKT-00004,Hardware,High,Resolved,IT,Rohit Verma,2023-04-22 02:24:50,2023-04-22 10:24:50,8.0,No,Yes
TKT-00005,Hardware,Low,Resolved,Legal,Rohit Verma,2024-04-22 03:21:40,2024-04-25 18:21:40,87.0,Yes,No
TKT-00006,Printer,Medium,Resolved,IT,Amit Sharma,2023-06-03 07:50:45,2023-06-04 06:50:45,23.0,No,Yes
TKT-00007,Network,Medium,Closed,HR,Anjali Mehta,2024-11-24 09:41:42,2024-11-26 15:41:42,54.0,Yes,Yes
TKT-00008,Software,High,Resolved,IT,Anjali Mehta,2024-10-31 19:05:03,2024-11-01 08:05:03,13.0,No,No
TKT-00009,Software,Medium,Closed,Marketing,Anjali Mehta,2024-10-07 21:41:54,2024-10-09 16:41:54,43.0,No,No
TKT-00010,Email,High,Resolved,IT,Rohit Verma,2023-03-12 16:15:25,2023-03-13 15:15:25,23.0,No,Yes
TKT-00011,Hardware,Low,Resolved,Sales,Neha Gupta,2024-05-03 13:53:01,2024-05-05 09:53:01,44.0,No,No
TKT-00012,Printer,Medium,Closed,IT,Anjali Mehta,2023-06-06 04:49:21,2023-06-06 18:49:21,14.0,No,No
TKT-00013,Software,High,Closed,Marketing,Suresh Kumar,2023-06-04 21:06:45,2023-06-05 11:06:45,14.0,No,Yes
TKT-00014,Software,Critical,Resolved,IT,Amit Sharma,2024-06-07 21:45:01,2024-06-08 00:45:01,3.0,No,No
TKT-00015,Printer,Low,Closed,Operations,Amit Sharma,2024-10-28 04:22:19,2024-10-30 15:22:19,59.0,No,No
TKT-00016,Email,Low,Closed,HR,Anjali Mehta,2023-01-07 08:39:28,2023-01-08 08:39:28,24.0,No,Yes
TKT-00017,Network,High,Resolved,Sales,Neha Gupta,2023-02-13 12:56:16,2023-02-13 14:56:16,2.0,No,No
TKT-00018,Email,High,Closed,HR,Vikram Joshi,2024-07-27 13:05:12,2024-07-28 17:05:12,28.0,Yes,Yes
TKT-00019,Email,Low,Resolved,Finance,Suresh Kumar,2023-04-24 16:20:46,2023-04-27 21:20:46,77.0,Yes,No
TKT-00020,Access/Login,Low,In Progress,Legal,Vikram Joshi,2023-02-06 23:43:04,,,,No
